2015-01-16T00:05:52.855+0800: 35707.571: [GC [PSYoungGen: 571290K->97609K(579072K)] 2414318K->1941153K(3992576K), 0.0752550 secs] [Times: user=0.60 sys=0.07, real=0.08 secs] 
2015-01-16T00:10:30.944+0800: 35985.659: [GC [PSYoungGen: 572745K->100999K(578560K)] 2416289K->1945371K(3992064K), 0.0844160 secs] [Times: user=0.56 sys=0.13, real=0.08 secs] 
2015-01-16T00:15:36.072+0800: 36290.787: [GC [PSYoungGen: 576135K->102310K(577536K)] 2420507K->1947725K(3991040K), 0.1116810 secs] [Times: user=0.45 sys=0.15, real=0.11 secs] 
2015-01-16T00:21:47.964+0800: 36662.680: [GC [PSYoungGen: 577446K->103126K(576000K)] 2422861K->1949414K(3989504K), 0.0695370 secs] [Times: user=0.50 sys=0.06, real=0.07 secs] 
2015-01-16T00:28:46.429+0800: 37081.145: [GC [PSYoungGen: 574166K->95741K(577024K)] 2420454K->1942894K(3990528K), 0.0720590 secs] [Times: user=0.56 sys=0.01, real=0.07 secs] 
2015-01-16T00:35:30.466+0800: 37485.182: [GC [PSYoungGen: 566781K->98750K(578048K)] 2413934K->1946650K(3991552K), 0.0691500 secs] [Times: user=0.58 sys=0.00, real=0.07 secs] 
2015-01-16T00:41:22.690+0800: 37837.405: [GC [PSYoungGen: 570814K->98815K(577024K)] 2418714K->1947709K(3990528K), 0.0720150 secs] [Times: user=0.55 sys=0.02, real=0.07 secs] 
2015-01-16T00:49:17.879+0800: 38312.595: [GC [PSYoungGen: 570879K->98229K(579072K)] 2419773K->1947859K(3992576K), 0.0627020 secs] [Times: user=0.42 sys=0.00, real=0.07 secs] 
2015-01-16T00:57:09.214+0800: 38783.930: [GC [PSYoungGen: 572853K->97581K(578560K)] 2422483K->1948212K(3992064K), 0.0700350 secs] [Times: user=0.44 sys=0.14, real=0.07 secs] 
2015-01-16T01:04:01.815+0800: 39196.531: [GC [PSYoungGen: 572205K->101609K(578048K)] 2422836K->1953003K(3991552K), 0.0674440 secs] [Times: user=0.47 sys=0.10, real=0.07 secs] 
2015-01-16T01:17:02.229+0800: 39976.945: [GC [PSYoungGen: 575721K->96981K(578560K)] 2427115K->1949857K(3992064K), 0.0945710 secs] [Times: user=0.54 sys=0.07, real=0.09 secs] 
2015-01-16T01:30:16.242+0800: 40770.958: [GC [PSYoungGen: 571093K->98835K(579072K)] 2423969K->1952604K(3992576K), 0.0736730 secs] [Times: user=0.54 sys=0.02, real=0.07 secs] 
2015-01-16T01:41:48.488+0800: 41463.203: [GC [PSYoungGen: 573459K->98836K(578560K)] 2427228K->1953262K(3992064K), 0.0663880 secs] [Times: user=0.57 sys=0.00, real=0.07 secs] 
2015-01-16T01:56:48.274+0800: 42362.990: [GC [PSYoungGen: 573460K->103414K(575488K)] 2427886K->1959869K(3988992K), 0.0717920 secs] [Times: user=0.56 sys=0.01, real=0.07 secs] 
2015-01-16T02:13:11.721+0800: 43346.437: [GC [PSYoungGen: 575478K->92930K(565248K)] 2431933K->1956794K(3978752K), 0.0636450 secs] [Times: user=0.40 sys=0.00, real=0.06 secs] 
2015-01-16T02:30:36.455+0800: 44391.170: [GC [PSYoungGen: 564994K->93262K(577024K)] 2428858K->1957998K(3990528K), 0.0784990 secs] [Times: user=0.64 sys=0.20, real=0.08 secs] 
